ID,Name,Link,Image,Price,Category,,,,,,,Category
13371117,"Alienware m15 15.6"" Gaming Laptop (Intel i7-8750H/1TB HDD/128GB SSD/16GB RAM/GTX 1060) - English",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-6-gaming-laptop-intel-i7-8750h-1tb-hdd-128gb-ssd-16gb-ram-gtx-1060-english/13371117.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13371/13371117.jpg,"$2,199.99 ",Gaming Laptops,,,,,,,
12608125,"Alienware 15.6"" Gaming Laptop (Intel Core i7-8750H/1TB HDD/256GB SSD/16GB RAM/NVIDIA GTX 1060) - En",https://www.bestbuy.ca/en-ca/product/alienware-15-6-gaming-laptop-intel-core-i7-8750h-1tb-hdd-256gb-ssd-16gb-ram-nvidia-gtx-1060-en/12608125.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/126/12608/12608125.jpg,"$2,499.99 ",Gaming Laptops,,,,,,,
13377378,"Alienware M15 - 15"" - FHD - NVIDIA 1060 - i7-8750H - 16GB - 128GB SSD + 1TB SSHD -WIN10 HOME -Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-1060-i7-8750h-16gb-128gb-ssd-1tb-sshd-win10-home-certified-refurbished/13377378.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13377/13377378.jpg,"$1,699.00 ",Gaming Laptops,,,,,,,
13305700,"Alienware 17.3"" Gaming Laptop (Intel i7-8750H/1TB HDD/128GB SSD/16GB RAM/NVIDIA GTX 1070)- English",https://www.bestbuy.ca/en-ca/product/alienware-17-3-gaming-laptop-intel-i7-8750h-1tb-hdd-128gb-ssd-16gb-ram-nvidia-gtx-1070-english/13305700.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13305/13305700.jpg,"$3,049.99 ",Gaming Laptops,,,,,,,
13024340,"Alienware 17 R5 - 17"" - FHD - NVIDIA 1070 - i7-8750H - 16GB - 256GB SSD + 1TB -WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-17-r5-17-fhd-nvidia-1070-i7-8750h-16gb-256gb-ssd-1tb-win10-home-certified-refurbished/13024340.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/130/13024/13024340.jpg,"$1,999.00 ",Gaming Laptops,,,,,,,
12907924,"Alienware 17 R4 - 17"" - FHD - NVIDIA 1060 6GB - i7-7700HQ - 16GB - 128GB SSD + 1TB -WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-17-r4-17-fhd-nvidia-1060-6gb-i7-7700hq-16gb-128gb-ssd-1tb-win10-home-certified-refurbished/12907924.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/129/12907/12907924.jpg,"$1,699.00 ",Gaming Laptops,,,,,,,
13339456,"Alienware 15 R4 - 15"" - FHD - NVIDIA 1070 - i7-8750H - 16GB - 256GB SSD + 1TB -WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-15-r4-15-fhd-nvidia-1070-i7-8750h-16gb-256gb-ssd-1tb-win10-home-certified-refurbished/13339456.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13339/13339456.jpg,"$1,899.00 ",Gaming Laptops,,,,,,,
13305705,"Alienware 15.6"" Gaming Laptop (Intel i7/1TB HDD/256GB SSD/16GB RAM/NVIDIA GTX 1070) - English",https://www.bestbuy.ca/en-ca/product/alienware-15-6-gaming-laptop-intel-i7-1tb-hdd-256gb-ssd-16gb-ram-nvidia-gtx-1070-english/13305705.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13305/13305705.jpg,"$2,549.98 ",Gaming Laptops,,,,,,,
11789533,"Alienware 13.3"" VR Gaming Laptop-Silver (i7-7700HQ/256GB SSD/8GB RAM/NVIDIA GTX 1060)-Eng - Open Box",https://www.bestbuy.ca/en-ca/product/alienware-13-3-vr-gaming-laptop-silver-i7-7700hq-256gb-ssd-8gb-ram-nvidia-gtx-1060-eng-open-box/11789533.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/117/11789/11789533.jpg,"$1,849.99 ",Gaming Laptops,,,,,,,
12856407,"Alienware 17.3"" Gaming Laptop (Intel i7-8750H/1TB HDD/256GB SSD/8GB RAM/NVIDIA GeForce GTX 1060)-Eng",https://www.bestbuy.ca/en-ca/product/alienware-17-3-gaming-laptop-intel-i7-8750h-1tb-hdd-256gb-ssd-8gb-ram-nvidia-geforce-gtx-1060-eng/12856407.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/128/12856/12856407.jpg,"$2,149.99 ",Gaming Laptops,,,,,,,
13024343,"Alienware 17 R5 - 17"" - FHD - NVIDIA 1060 - i7-8750H - 32GB - 512GB SSD -WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-17-r5-17-fhd-nvidia-1060-i7-8750h-32gb-512gb-ssd-win10-home-certified-refurbished/13024343.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/130/13024/13024343.jpg,"$2,099.00 ",Gaming Laptops,,,,,,,
13461073,"Alienware M15 - 15"" UHD - NVIDIA GTX 1070 - i7-8750H - 16GB - 512GB SSD + 1TB HD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-uhd-nvidia-gtx-1070-i7-8750h-16gb-512gb-ssd-1tb-hd-win10-home-certified-refurbished/13461073.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13461/13461073.jpg,"$2,149.00 ",Gaming Laptops,,,,,,,
13339464,"Alienware 17 R5 - 17"" - FHD - NVIDIA 1060 - i7-8750H - 32GB - 256GB SSD + 1TB -WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-17-r5-17-fhd-nvidia-1060-i7-8750h-32gb-256gb-ssd-1tb-win10-home-certified-refurbished/13339464.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13339/13339464.jpg,"$1,999.00 ",Gaming Laptops,,,,,,,
13016138,"Alienware 17.3"" Gaming Laptop (Intel Core i7/1TB HDD/128GB SSD/16GB RAM/GTX 1070) - En - Open Box",https://www.bestbuy.ca/en-ca/product/alienware-17-3-gaming-laptop-intel-core-i7-1tb-hdd-128gb-ssd-16gb-ram-gtx-1070-en-open-box/13016138.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/130/13016/13016138.jpg,"$2,699.99 ",Gaming Laptops,,,,,,,
